text,commit message for
"I think I fixed #474, although I don't have a way of verifying it. ""svn+ssh on slave node causes NullPointerException""",bug fixing
new UI - fix a bug that clicking a submenu will collapse parent menu.,bug fixing
TFJ-26 : added debugging feature,adding new features
"Introduce logout feature, upgrade to 1.0.2.Final of console",adding new features
bug 7713: Add Zone Wizard - Add IP Range to advanced zone - fix a bug that domain field and account field is not hidden when scope is account-specific and VLAN is changed from tagged to  untagged.,bug fixing
removed setfeature due to it is not supported in sax,adding new features
AVRO-752. Java: Enhanced Performance Test Suite,improving non-functional requirements
[GSCOLLECT-1606] Improve primitive map performance.,improving non-functional requirements
bug 11664: fixed regression bug in listVms introduced by performance changes,bug fixing
Adding feature toggle in ProcessEngineConfigurationImpl to allow diagram creation on deploy to be disabled.,adding new features
new UI - fix a bug - instances page's middle menu action list is empty.,bug fixing
SONAR-5007 improve medium tests for testing server startup tasks,improving non-functional requirements
CLOUDSTACK-8466: Fixed import error in testpath_snapshot_limits.py,bug fixing
publican errors in the release notes fixed,bug fixing
"CLOUDSTACK-7490: UI > Templates menu (listing) > select a template from listing > Details tab > Zones tab (listing) > select a zone from listing > Details tab > fix a bug that wrong ""template+zone"" combination was shown.",bug fixing
proxy config change tracking; plaintext password warning; improvements for feature #388,adding new features
"new UI - instance page, volume page - fix a bug that after creation, clicking middle menu pops up javascript error.",bug fixing
added attribute feature to Request and filter example on how to use it,adding new features
more logging and fixed bug in cleanup,bug fixing
performance improvement on restricted class check.,improving non-functional requirements
[ALLUXIO-2572] Fix return value when error,bug fixing
Issue #1404. WAL tests and performance improvement.,improving non-functional requirements
[FIXED HUDSON-5827] Fixed ClassCastException - live in svn plugin 1.13 which will be bundled with 1.350,bug fixing
BZ-1155852 - Performance improvement suggestion for getRuntimeEngine(),improving non-functional requirements
Sort in alphabetical order (to avoid duplicate key) and better compare with l10n ressource files (already in alphabetical order),commits that belong to no category
Created examples/java-no-features to demonstrate Cucumber JVM behaviour,adding new features
Use default methods to eliminate duplicate enum logic.,commits that belong to no category
"CLOUDSTACK-3868: fixed ""count"" param in listUsageRecords API to return the actual number of records matching the search criteria. Used to return the wrong value - the number of records per page",bug fixing
CLOUDSTACK-8844: Network Update from RVR offering to Standalone offering fails - Fixed,bug fixing
"percolator: Replace percolate api with the new percolator query

Also replaced the PercolatorQueryRegistry with the new PercolatorQueryCache.

The PercolatorFieldMapper stores the rewritten form of each percolator query's xcontext
in a binary doc values field. This make sure that the query rewrite happens only during
indexing (some queries for example fetch shapes, terms in remote indices) and
the speed up the loading of the queries in the percolator query cache.

Because the percolator now works inside the search infrastructure a number of features
(sorting fields, pagination, fetch features) are available out of the box.

The following feature requests are automatically implemented via this refactoring:

Closes #10741
Closes #7297
Closes #13176
Closes #13978
Closes #11264
Closes #10741
Closes #4317",adding new features
add a benchmarks module to do quick experiments to improve performance.,improving non-functional requirements
SQL: improved performance when BETWEEN is used. Thanks to Fabrizio Fortino for the tip,improving non-functional requirements
CLOUDSTACK-7863: Fix the script 'test_vpc_vms_deployment.py' - Test Cases failing on Simulator as Testcases try to ssh to the VMs,bug fixing
CLOUDSTACK-3539: Fix wrong management ip when server start up,bug fixing
"fixed a possible infinite loop. This doesn't eliminate the possibility that context classloader has UberClassLoader as an ancestor, but it fixes the problem Rama is seeing.",bug fixing
remove duplicate lines of 2d678063fac318776f60b7f3b1d27323cac06dfc,commits that belong to no category
"[FIXED HUDSON-6542] Fix javascript error when a plugin uses an empty f:dropdownList,",bug fixing
"Added 'coming' tags to mlt for multiple docs feature.

Closes #6272",adding new features
[Core] Use whole path for uri:s for file system feature files.,adding new features
Tiny performance improvements / streamlining,improving non-functional requirements
[AS7-4486] Remove feature that starts bundles automatically on 'deploy' operation,adding new features
Small performance enhancement for checksum generation.,improving non-functional requirements
Added transform tag to feature,adding new features
Feature request #710: A setting to choose either a DOI link or a URL to be standard,adding new features
"CLOUDSTACK-9354 - Fixing an issue in Marvin around creating a template from a snapshot (if â€œis publicâ€ is not provided, there was a problem)",bug fixing
"attempting to fix the performance problem in artifact archiving. Discovered on Sun's deployment, in the ""glassfish-v3-main-publisher"" job by Harsha.",bug fixing
Duplicate statement in ExporterDL.java,commits that belong to no category
improved error response code to include url encoded params which makes ec2 a lot easier to debug,improving non-functional requirements
